cart_velocity,pole_angular_velocity,pole_angle,motor_command
-68.18262,0.106860355,-0.6973871,0.49591625
-67.173485,0.022636201,-0.6970098,0.49591625
-66.16435,-0.0611178,-0.6980284,0.49591625
-65.15522,-0.14448674,-0.7004365,-0.64219546
-67.31991,-0.2094784,-0.70392776,-0.64219546
-69.4846,-0.27445987,-0.7085021,-0.64219546
-71.649284,-0.3395344,-0.71416104,-0.64219546
-73.81397,-0.4048157,-0.720908,-0.64219546
-75.97866,-0.47041544,-0.72874826,-0.64219546
-78.14335,-0.5364416,-0.73768896,-0.64219546
-80.30804,-0.60299397,-0.74773884,-0.64219546
-82.472725,-0.6701561,-0.7589081,-0.64219546
-84.63741,-0.7380736,-0.7712093,-0.64219546
-86.8021,-0.806823,-0.7846564,-0.64219546
-88.96679,-0.8765021,-0.7992648,-0.64219546
-91.13148,-0.94720167,-0.8150515,-0.64219546
-93.296165,-1.0190147,-0.83203506,-0.64219546
-95.46085,-1.0920299,-0.8502356,-0.7617512
-98.34906,-1.1627489,-0.8696147,-0.7617512
-101.23726,-1.2349204,-0.89019674,-0.13918257
-101.321205,-1.3218442,-0.91222745,-0.13918257
-101.40515,-1.4099481,-0.9357266,-0.13918257
-101.4891,-1.4993005,-0.960715,-0.13918257
-101.573044,-1.5899471,-0.9872141,-0.13918257
-101.65699,-1.6819134,-1.015246,-0.13918257
-101.74094,-1.7752172,-1.044833,-0.45286715
-102.91531,-1.8657702,-1.0759292,-0.45286715
-104.08969,-1.9579033,-1.1085609,-0.45286715
-105.26407,-2.0515842,-1.142754,0.12322807
-105.26407,-2.1504405,-1.1785946,0.12322807
-105.26407,-2.2504659,-1.2161024,0.12322807
-105.26407,-2.3515775,-1.2552953,0.12322807
-105.26407,-2.4536674,-1.2961898,0.12322807
-105.26407,-2.556603,-1.3387998,0.12322807
-105.26407,-2.6602242,-1.3831369,0.12322807
-105.26407,-2.7643478,-1.4292094,-0.88609046
-108.97642,-2.864843,-1.4769567,-0.88609046
-112.68877,-2.9667294,-1.5264022,-0.88609046
-116.401115,-3.0697837,-1.5775653,-0.88609046
-120.113464,-3.1737468,-1.6304611,-0.88609046
-123.82581,-3.278326,-1.6850998,-0.88609046
-127.53816,-3.3831935,-1.7414864,-0.88609046
-131.25052,-3.4879906,-1.7996196,-0.88609046
-134.96288,-3.5923147,-1.8594915,-0.88609046
-138.67523,-3.695736,-1.921087,-0.88609046
-142.38759,-3.7977796,-1.9843833,-0.88609046
-146.09995,-3.8979616,-2.0493493,-0.88609046
-149.8123,-3.9957435,-2.115945,0.29132938
-149.55516,-4.075169,-2.1838646,0.29132938
-149.29802,-4.1495214,-2.2530234,0.29132938
-149.04088,-4.2183213,-2.3233287,0.29132938
-148.78374,-4.281056,-2.3946795,0.29132938
-148.5266,-4.3372474,-2.466967,0.29132938
-148.26945,-4.386434,-2.5400743,0.29132938
-148.01231,-4.428241,-2.6138783,0.29132938
-147.75517,-4.462271,-2.6882493,0.29132938
-147.49803,-4.488211,-2.763053,0.65077007
-145.72691,-4.495251,-2.8379738,0.65077007
-143.9558,-4.493593,-2.912867,0.65077007
-142.18468,-4.4831295,-2.9875858,0.65077007
-140.41356,-4.463872,-3.0619836,0.65077007
-138.64244,-4.435922,-3.1359155,0.65077007
-136.87132,-4.3993487,3.0739472,0.65077007
-135.1002,-4.3543725,3.0013742,0.65077007
-133.32909,-4.301263,2.9296865,0.9715239
-129.57431,-4.2257547,2.8592572,0.9715239
-125.819534,-4.143181,2.7902043,0.9715239
-122.06476,-4.0539727,2.7226381,0.9715239
-118.30998,-3.9585903,2.6566615,0.9715239
-114.55521,-3.85754,2.592369,0.9715239
-110.80043,-3.751329,2.529847,0.9715239
-107.045654,-3.640438,2.469173,0.9715239
