episode_id,step,cart_velocity,pole_angular_velocity,pole_angle,cart_position,motor_command,reward,done
3,64,-0.57677,0.043294642,-0.12795763,0.0011630859,-0.986328512,-0.18034151,0
3,65,-0.6174889,0.04597215,-0.13400413,0.01145459,-1.0,-0.19842955,0
3,66,-0.6582078,0.047704525,-0.14047833,0.022424683,-1.0,-0.21777701,0
3,67,-0.6989266,0.0483969,-0.14746179,0.034073487,-1.0,-0.23861745,0
3,68,-0.7396455,0.047926717,-0.15504323,0.04640088,-1.0,-0.26129577,0
3,69,-0.7803644,0.046160858,-0.16331895,0.05940698,-1.0,-0.28632557,0
3,70,-0.82108325,0.042937007,-0.17239395,0.07309168,-1.0,-0.31442848,0
3,71,-0.8618021,0.038076438,-0.18238243,0.08745508,-1.0,-0.3466185,0
3,72,-0.902521,0.031367816,-0.19340865,0.10249707,-1.0,-0.38428363,0
3,73,-0.94323987,0.022581039,-0.20560692,0.118217774,-1.0,-0.42931646,0
3,74,-0.9839587,0.011449546,-0.21912208,0.13461706,-1.0,-0.48425582,0
3,75,-1.0,-0.009159126,-0.23447187,0.1512837,-1.0,-0.5548841,0
3,76,-1.0,-0.036327817,-0.25199535,0.16795032,-1.0,-0.654037,0
3,77,-1.0,-0.065573394,-0.27177557,0.18461694,-1.0,-0.78902876,0
3,78,-1.0,-0.09702474,-0.2938931,0.20128357,-1.0,-0.9668644,0
3,79,-1.0,-0.13075303,-0.31842,0.2179502,-1.0,-1.1954067,0
3,80,-1.0,-0.16675007,-0.34541318,0.23461682,-1.0,-1.4831235,0
3,81,-1.0,-0.20490599,-0.37490654,0.25128344,-1.0,-1.8386577,0
3,82,-1.0,-0.24498188,-0.4069031,0.26795015,-1.0,-2.2701716,0
3,83,-1.0,-0.28659463,-0.44136682,0.28461683,-1.0,-2.7845132,0
3,84,-1.0,-0.32920203,-0.4782164,0.3012835,-1.0,-3.3862147,0
3,85,-1.0,-0.3721063,-0.51732063,0.3179502,,-4.076487,1
4,0,0.036900606,0.0,-0.0027777776,0.0,-0.026111109440000002,-7.6154356e-05,0
4,1,0.036806233,0.058849372,0.09436987,0.00061340333,1.0,-0.12252814,0
4,2,0.058890652,0.057556313,0.101415016,0.0015949707,1.0,-0.13463749,0
4,3,0.08097507,0.0568556,0.10877916,0.00294458,1.0,-0.14911604,0
4,4,0.103059486,0.05677889,0.11651993,0.0046622315,1.0,-0.16624787,0
4,5,0.1251439,0.057368588,0.124697775,0.0067479247,1.0,-0.18640208,0
4,6,0.14722833,0.058669336,0.13337618,0.009201782,1.0,-0.21003568,0
4,7,0.16931275,0.06074177,0.14262258,0.012023682,1.0,-0.23772751,0
4,8,0.19139716,0.063647784,0.15250832,0.015213623,1.0,-0.27018118,0
4,9,0.21348156,0.067459464,0.1631093,0.018771606,1.0,-0.30826128,0
4,10,0.23556598,0.072257906,0.17450626,0.022697754,1.0,-0.35302314,0
4,11,0.2576504,0.07813861,0.18678536,0.026991943,1.0,-0.40575907,0
4,12,0.2797348,0.08520145,0.20003809,0.031654175,1.0,-0.46802852,0
4,13,0.3018192,0.09355724,0.21436158,0.03668445,1.0,-0.5417195,0
4,14,0.32390362,0.1033258,0.22985832,0.042082887,1.0,-0.6291068,0
4,15,0.34598804,0.11463853,0.24663627,0.047849365,1.0,-0.7329273,0
4,16,0.36807245,0.1276289,0.26480776,0.053983886,1.0,-0.8564364,0
4,17,0.39015687,0.14243361,0.28448886,0.06048645,1.0,-1.0034883,0
4,18,0.41224128,0.1591838,0.30579734,0.067357175,1.0,-1.1785899,0
4,19,0.4343257,0.17800605,0.32885095,0.07459595,1.0,-1.3869718,0
4,20,0.43679065,0.20247158,0.3539482,0.081875734,1.0,-1.6497568,0
4,21,0.43679065,0.22869262,0.38117686,0.08915552,1.0,-1.9609897,0
4,22,0.43679065,0.25609377,0.4105871,0.0964353,1.0,-2.3243253,0
4,23,0.43679065,0.28450757,0.44221124,0.103715084,1.0,-2.744833,0
4,24,0.43679065,0.31368726,0.47605878,0.110994875,1.0,-3.2269251,0
4,25,0.43679065,0.34329966,0.51211077,0.11827466,,-3.7739189,1
5,0,0.07516608,0.0,-0.0027777776,0.0,-0.026111109440000002,-7.6154356e-05,0
5,1,0.075103395,-0.035701532,0.011789879,0.001251709,-0.06768279740000001,-0.014118664,0
5,2,0.074763484,-0.03449972,0.009586815,0.0024978027,-0.08238253899999999,-0.012812512,0
5,3,0.07430605,-0.033430062,0.0074931066,0.003736206,-0.09671510796000002,-0.011736815,0
5,4,0.07372693,-0.0324852,0.0054928,0.004964966,-0.11079367999999998,-0.010862981,0
5,5,0.07302229,-0.031654067,0.003571096,0.006182007,-0.12470203260000001,-0.010164775,0
