iter,avg_reward,avg_len,episodes,std,loss
399,2353.2008,2830.59,29,0.2737,20.1623
400,2515.7045,2884.48,21,0.2738,23.0653
401,2399.7812,2806.43,21,0.2737,23.6115
402,2506.5005,2929.61,28,0.2734,21.4985
403,2642.8260,3000.00,18,0.2730,19.8617
404,2363.3474,2788.29,21,0.2722,24.0779
405,2493.9103,2846.38,29,0.2718,23.4314
406,2322.5575,2808.79,19,0.2718,23.2168
407,2519.2631,2837.09,23,0.2719,23.4334
408,2307.6568,2783.54,26,0.2718,22.4124
409,2485.1376,2918.55,20,0.2718,24.2340
410,2554.0181,2805.17,23,0.2712,21.3380
411,2551.2915,2974.62,26,0.2702,20.8768
412,2253.5796,2722.06,18,0.2693,21.0499
413,2507.1396,3000.00,23,0.2689,21.0342
414,2512.6916,2985.88,26,0.2687,23.5556
415,2306.8172,2760.12,17,0.2681,23.6254
416,2508.7166,2946.92,25,0.2674,19.1283
417,2471.7878,2919.29,24,0.2670,21.8180
418,2462.2458,2988.63,19,0.2667,19.1929
419,2412.8362,2903.67,24,0.2665,20.2720
420,2185.4667,2709.84,25,0.2663,23.2617
421,2618.7683,3000.00,21,0.2660,21.8239
422,2509.2610,3000.00,22,0.2655,22.0846
423,2473.2265,2897.09,23,0.2649,19.2164
424,2198.8677,2709.58,24,0.2647,23.5179
425,2463.3362,2918.72,25,0.2648,20.1881
426,2370.7333,2751.81,21,0.2646,23.3092
427,2432.3925,2825.09,23,0.2641,23.1502
428,2428.5757,2869.56,25,0.2640,25.9708
429,2600.3239,2938.76,21,0.2638,22.8327
430,2624.9616,2985.74,19,0.2637,20.0299
431,2253.8259,2747.00,32,0.2635,22.0148
432,2576.2104,3000.00,18,0.2633,22.4563
433,2298.9577,2755.55,20,0.2632,22.2450
434,2457.8704,2954.97,31,0.2630,22.7100
435,2523.0704,2738.69,16,0.2628,22.1620
436,2500.3942,2954.59,22,0.2628,21.5721
437,2276.0681,2734.72,29,0.2629,21.9606
438,2518.4585,3000.00,18,0.2629,19.0131
439,2489.1532,2932.83,23,0.2629,23.2798
440,2589.3999,3000.00,26,0.2628,19.9058
441,2490.5223,2912.05,19,0.2627,21.4739
442,2489.2030,2991.19,21,0.2625,19.6305
443,2570.8864,2998.84,25,0.2625,19.9495
444,2540.7501,2888.60,20,0.2627,19.7565
445,2490.7303,3000.00,20,0.2626,21.4530
446,2473.7069,3000.00,25,0.2626,21.4781
447,2471.3693,2821.64,22,0.2625,21.7766
448,2359.2854,2866.09,22,0.2622,20.3267
449,2585.7773,3000.00,21,0.2619,22.0982
450,2498.3792,2980.41,22,0.2619,23.2049
451,2591.6082,2971.65,23,0.2620,20.6668
452,2493.1001,2966.10,20,0.2616,21.3328
453,2604.6046,3000.00,24,0.2615,23.8674
454,2458.2887,2858.23,22,0.2616,26.1180
455,2498.7362,2884.19,21,0.2617,22.2981
456,2557.9244,3000.00,23,0.2620,23.9692
457,2331.1655,2735.84,25,0.2617,21.1541
458,2374.9309,2803.70,20,0.2607,22.7222
459,2517.8702,3000.00,25,0.2595,23.0231
460,2572.4189,3000.00,22,0.2592,21.1628
461,2320.9273,2801.18,22,0.2589,20.6714
462,2475.7375,3000.00,23,0.2582,19.1937
463,2445.7962,2897.79,24,0.2574,22.6012
464,2439.0178,2876.48,21,0.2569,21.2616
465,2611.1770,2955.13,23,0.2562,22.6324
466,2408.4142,2871.92,24,0.2557,21.3451
467,2243.3897,2749.32,22,0.2555,20.1889
468,2563.9658,2939.43,23,0.2554,21.7782
469,2357.9590,2937.91,22,0.2552,19.9714
470,2227.5828,2745.62,26,0.2547,21.2995
471,2513.6964,2922.30,23,0.2545,22.6145
472,2544.6823,3000.00,17,0.2541,20.1486
473,2338.7000,2907.96,26,0.2539,19.5039
474,2465.8475,3000.00,23,0.2537,23.5034
475,2325.2888,2912.26,19,0.2535,20.6038
476,2355.3387,2906.12,25,0.2532,19.2253
477,2489.2447,2903.04,25,0.2527,21.0740
478,2251.6866,2852.78,18,0.2521,19.6801
479,2286.0615,2807.85,26,0.2516,21.6228
480,2454.8283,2852.58,26,0.2515,22.2316
481,2112.1389,2542.15,20,0.2510,23.8075
482,2519.9198,2930.00,26,0.2506,20.5297
483,2428.6113,2794.50,22,0.2502,20.8174
484,2521.2891,2891.95,21,0.2497,19.1264
485,2582.5486,2954.24,25,0.2495,19.5342
486,2247.9318,2844.29,21,0.2498,20.7249
487,2386.9542,2881.41,22,0.2496,24.9331
488,2543.2172,3000.00,22,0.2495,19.7495
489,2562.3258,2964.13,23,0.2499,25.2330
490,2538.1004,3000.00,20,0.2503,22.1544
491,2606.4604,3000.00,21,0.2505,23.1496
492,2525.4875,2948.21,24,0.2504,21.4452
493,2481.7104,3000.00,21,0.2502,19.3348
494,2626.3804,3000.00,19,0.2499,20.8416
495,2446.9967,2950.77,26,0.2493,19.0231
496,2531.1431,3000.00,19,0.2488,19.2256
497,2447.9117,2954.82,22,0.2485,18.3728
498,2403.5281,2831.08,26,0.2480,22.1655
499,2455.8289,2990.84,19,0.2478,21.8315
500,2465.0604,2918.79,28,0.2476,23.7633
501,2505.1189,2919.75,20,0.2479,23.6681
502,2581.7230,3000.00,18,0.2480,20.3171
503,2591.3441,3000.00,28,0.2475,19.0240
504,2311.1663,2874.05,21,0.2469,21.8933
505,2483.2612,2949.40,20,0.2459,19.9821
506,2541.6105,2970.44,27,0.2452,22.7693
507,2409.6438,2778.80,20,0.2445,24.1058
508,2361.6462,2900.82,22,0.2439,22.4541
509,2549.5950,3000.00,23,0.2433,19.7202
510,2378.9618,2852.95,22,0.2433,18.3494
511,2386.0351,2843.75,24,0.2433,20.5788
512,2476.0834,2899.18,22,0.2429,20.8835
513,2475.0439,2882.17,23,0.2427,21.2668
514,2497.2002,2989.96,23,0.2426,21.8131
515,2425.8035,2899.27,22,0.2422,22.5299
